"checking_status","duration","credit_history","loan_purpose","credit_amount","savings_status","employment","installment_commitment","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","credit_class","gender","credit_class_binary"
"no checking",36,"existing paid","Consumer goods",2394,"<100","1<=X<4",4,"none",4,"car",25,"stores","own",1,"skilled",0,0,1,"good",1,1
"no checking",36,"existing paid","Car Purchase",8133,"<100","1<=X<4",1,"none",2,"life insurance",30,"bank","own",1,"skilled",0,0,1,"good",1,1
"no checking",7,"critical/order existing credit","Consumer goods",730,"<100",">=7",2.92,"none",2,"life insurance",46,"stores","rent",2,"unskilled resident",0,1,1,"good",0,1
"<0",8,"critical/order existing credit","other",1164,"<100",">=7",3,"none",4,"no known property",51,"bank","for free",2,"high qualified",1,1,1,"good",0,1
"0<=X<200",42,"critical/order existing credit","business",5954,"<100","4<=X<7",2,"none",1,"real estate",41,"bank","own",2,"unskilled resident",0,0,1,"good",1,1
"<0",36,"existing paid","education",1977,"<100",">=7",4,"none",3,"no known property",40,"stores","own",1,"high qualified",0,1,1,"bad",0,0
"<0",12,"critical/order existing credit","Car Purchase",1526,"<100",">=7",4,"none",4,"no known property",66,"stores","for free",2,"high qualified",0,0,1,"good",0,1
"<0",42,"existing paid","Consumer goods",3965,"<100","<1",3.73,"none",3,"car",34,"stores","own",1,"skilled",0,0,1,"bad",0,0
"0<=X<200",11,"delayed previously","Consumer goods",4771,"<100","4<=X<7",2,"none",2,"life insurance",51,"stores","own",1,"skilled",0,0,1,"good",0,1
"no checking",54,"no credits/all paid","Car Purchase",9436,"<100","1<=X<4",2,"none",2,"life insurance",39,"stores","own",1,"unskilled resident",1,0,1,"good",0,1
"no checking",30,"existing paid","Consumer goods",3832,"<100","<1",2,"none",1,"life insurance",22,"stores","own",1,"skilled",0,0,1,"good",0,1
"no checking",24,"existing paid","Consumer goods",5943,"500<=X<1000","<1",1,"none",1,"car",44,"stores","own",2,"skilled",0,1,1,"bad",1,0
"no checking",15,"existing paid","Consumer goods",1213,"500<=X<1000",">=7",4,"none",3,"life insurance",47,"stores","own",1,"skilled",0,1,1,"good",0,1
"no checking",18,"existing paid","business",1568,"100<=X<500","1<=X<4",3,"none",4,"life insurance",24,"stores","rent",1,"unskilled resident",0,0,1,"good",1,1
"0<=X<200",24,"existing paid","other",1755,"<100",">=7",4,"guarantor",4,"real estate",58,"stores","own",1,"unskilled resident",0,1,1,"good",1,1
"<0",10,"existing paid","Consumer goods",2315,"<100",">=7",3,"none",4,"real estate",52,"stores","own",1,"unskilled resident",0,0,1,"good",0,1
"no checking",12,"critical/order existing credit","business",1412,"<100","1<=X<4",4,"guarantor",2,"real estate",29,"stores","own",2,"high qualified",0,1,1,"good",1,1
"0<=X<200",18,"critical/order existing credit","Consumer goods",1295,"<100","<1",4,"none",1,"life insurance",27,"stores","own",2,"skilled",0,0,1,"good",1,1
"0<=X<200",36,"existing paid","education",12612,"100<=X<500","1<=X<4",1,"none",4,"no known property",47,"stores","for free",1,"skilled",1,1,1,"bad",0,0
"<0",18,"existing paid","Car Purchase",2249,"100<=X<500","4<=X<7",4,"none",3,"car",30,"stores","own",1,"high qualified",1,1,1,"good",0,1
"<0",12,"no credits/all paid","repairs",1108,"<100","4<=X<7",4,"none",3,"real estate",28,"stores","own",2,"skilled",0,0,1,"bad",0,0
"no checking",12,"critical/order existing credit","Consumer goods",618,"<100",">=7",4,"none",4,"real estate",56,"stores","own",1,"skilled",0,0,1,"good",0,1
"<0",12,"critical/order existing credit","Car Purchase",1409,"<100",">=7",4,"none",3,"real estate",54,"stores","own",1,"skilled",0,0,1,"good",0,1
"no checking",12,"critical/order existing credit","Consumer goods",797,"<100",">=7",4,"none",3,"life insurance",33,"bank","own",1,"unskilled resident",1,0,1,"bad",1,0
">=200",24,"critical/order existing credit","Consumer goods",3617,"500<=X<1000",">=7",4,"co applicant",4,"no known property",20,"stores","rent",2,"skilled",0,0,1,"good",0,1
"0<=X<200",12,"existing paid","Car Purchase",1318,">=1000",">=7",4,"none",4,"real estate",54,"stores","own",1,"skilled",0,1,1,"good",0,1
"0<=X<200",54,"no credits/all paid","business",15945,"<100","<1",3,"none",4,"no known property",58,"stores","rent",1,"skilled",0,1,1,"bad",0,0
"no checking",12,"critical/order existing credit","education",2012,"100<=X<500","4<=X<7",4,"none",2,"car",61,"stores","own",1,"skilled",0,0,1,"good",1,1
"0<=X<200",18,"existing paid","business",2622,"100<=X<500","1<=X<4",4,"none",4,"car",34,"stores","own",1,"skilled",0,0,1,"good",0,1
"0<=X<200",36,"critical/order existing credit","Consumer goods",2337,"<100",">=7",4,"none",4,"real estate",36,"stores","own",1,"skilled",0,0,1,"good",0,1
"0<=X<200",20,"delayed previously","Car Purchase",7057,">=1000","4<=X<7",3,"none",4,"life insurance",36,"bank","rent",2,"high qualified",1,1,1,"good",0,1
"no checking",24,"existing paid","Car Purchase",1469,"100<=X<500",">=7",4,"none",4,"real estate",41,"stores","rent",1,"unskilled resident",0,0,1,"good",0,1
"0<=X<200",36,"existing paid","Consumer goods",2323,"<100","4<=X<7",4,"none",4,"car",24,"stores","rent",1,"skilled",0,0,1,"good",0,1
"no checking",6,"delayed previously","Consumer goods",932,"<100","1<=X<4",3,"none",2,"real estate",24,"stores","own",1,"skilled",0,0,1,"good",1,1
"0<=X<200",9,"critical/order existing credit","Consumer goods",1919,"<100","4<=X<7",4,"none",3,"car",27,"stores","rent",1,"skilled",0,1,1,"good",0,1
"no checking",12,"existing paid","Car Purchase",2445,"<100","<1",2,"none",4,"car",26,"stores","rent",1,"skilled",0,1,1,"good",0,1
"0<=X<200",24,"critical/order existing credit","other",11938,"<100","1<=X<4",2,"co applicant",3,"car",39,"stores","own",2,"high qualified",1,1,1,"bad",0,0
"no checking",18,"no credits/all paid","Car Purchase",6458,"<100",">=7",2,"none",4,"no known property",39,"bank","own",2,"high qualified",1,1,1,"bad",0,0
"0<=X<200",12,"existing paid","Car Purchase",6078,"<100","4<=X<7",2,"none",2,"car",32,"stores","own",1,"skilled",0,0,1,"good",0,1
"<0",24,"existing paid","Consumer goods",7721,">=1000","<1",1,"none",2,"life insurance",30,"stores","own",1,"skilled",0,1,0,"good",1,1
"0<=X<200",14,"existing paid","business",1410,"500<=X<1000",">=7",1,"none",2,"real estate",35,"stores","own",1,"skilled",0,1,1,"good",0,1
"0<=X<200",6,"delayed previously","business",1449,"100<=X<500",">=7",1,"none",2,"car",31,"bank","own",2,"skilled",1,0,1,"good",0,1
">=200",15,"existing paid","education",392,"<100","<1",4,"none",4,"life insurance",23,"stores","rent",1,"skilled",0,1,1,"good",1,1
"0<=X<200",18,"existing paid","Car Purchase",6260,"<100","4<=X<7",3,"none",3,"real estate",28,"stores","rent",1,"unskilled resident",0,0,1,"good",0,1
"no checking",36,"critical/order existing credit","Car Purchase",7855,"<100","1<=X<4",4,"none",2,"real estate",25,"stores","own",2,"skilled",0,1,1,"bad",1,0
"<0",12,"existing paid","Consumer goods",1680,"500<=X<1000",">=7",3,"none",1,"real estate",35,"stores","own",1,"skilled",0,0,1,"good",0,1
"no checking",48,"critical/order existing credit","Consumer goods",3578,"500<=X<1000",">=7",4,"none",1,"real estate",47,"stores","own",1,"skilled",0,1,1,"good",0,1
"<0",42,"existing paid","Consumer goods",7174,"<100","4<=X<7",4,"none",3,"car",30,"stores","own",1,"high qualified",0,1,1,"bad",1,0
"<0",10,"critical/order existing credit","Consumer goods",2132,"<100","<1",2,"co applicant",3,"real estate",27,"stores","rent",2,"skilled",0,0,0,"good",1,1
"<0",33,"critical/order existing credit","Consumer goods",4281,"500<=X<1000","1<=X<4",1,"none",4,"car",23,"stores","own",2,"skilled",0,0,1,"bad",1,0
"0<=X<200",12,"critical/order existing credit","Car Purchase",2366,"500<=X<1000","4<=X<7",3,"none",3,"car",36,"stores","own",1,"high qualified",0,1,1,"good",0,1
"<0",21,"existing paid","Consumer goods",1835,"<100","1<=X<4",3.36,"none",2,"real estate",25,"stores","own",2,"skilled",0,1,1,"bad",1,0
"no checking",24,"critical/order existing credit","Car Purchase",3868,"<100",">=7",4,"none",2,"car",41,"stores","rent",2,"high qualified",0,1,1,"good",1,1
"no checking",12,"existing paid","Consumer goods",1768,"<100","1<=X<4",3,"none",2,"real estate",24,"stores","rent",1,"unskilled resident",0,0,1,"good",0,1
">=200",21,"critical/order existing credit","Car Purchase",781,"<100",">=7",4,"none",4,"no known property",63,"stores","for free",2,"skilled",0,1,1,"good",0,1
"0<=X<200",18,"existing paid","Consumer goods",1924,"<100","<1",4,"none",3,"real estate",27,"stores","rent",1,"skilled",0,0,1,"bad",1,0
"<0",12,"critical/order existing credit","Car Purchase",2121,"<100","1<=X<4",4,"none",2,"life insurance",30,"stores","own",2,"skilled",0,0,1,"good",0,1
"<0",12,"existing paid","Consumer goods",701,"<100","1<=X<4",4,"none",2,"real estate",40,"stores","own",1,"unskilled resident",0,0,1,"good",0,1
"0<=X<200",12,"existing paid","repairs",639,"<100","1<=X<4",4,"none",2,"car",30,"stores","own",1,"high qualified",0,0,1,"bad",0,0
"0<=X<200",12,"critical/order existing credit","Car Purchase",1860,"<100","unemployed",4,"none",2,"car",34,"stores","own",2,"high qualified",0,1,1,"good",0,1
"<0",12,"critical/order existing credit","Car Purchase",3499,"<100","1<=X<4",3,"co applicant",2,"real estate",29,"stores","own",2,"skilled",0,0,1,"bad",1,0
"0<=X<200",48,"existing paid","Car Purchase",8487,"<100","4<=X<7",1,"none",2,"car",24,"stores","own",1,"skilled",0,0,1,"good",1,1
"<0",36,"delayed previously","education",6887,"<100","1<=X<4",4,"none",3,"life insurance",29,"bank","own",1,"skilled",0,1,1,"bad",0,0
"no checking",15,"existing paid","Consumer goods",2708,"<100","<1",2,"none",3,"life insurance",27,"bank","own",2,"unskilled resident",0,0,1,"good",0,1
"no checking",18,"existing paid","Consumer goods",1984,"<100","1<=X<4",4,"none",4,"no known property",47,"bank","for free",2,"skilled",0,0,1,"good",0,1
"no checking",60,"existing paid","Consumer goods",10144,"100<=X<500","4<=X<7",2,"none",4,"real estate",21,"stores","own",1,"skilled",0,1,1,"good",1,1
"no checking",12,"critical/order existing credit","Consumer goods",1240,"<100",">=7",4,"none",2,"real estate",38,"stores","own",2,"skilled",0,1,1,"good",1,1
"no checking",27,"delayed previously","Car Purchase",8613,">=1000","1<=X<4",2,"none",2,"car",27,"stores","own",2,"skilled",0,0,1,"good",0,1
"0<=X<200",12,"existing paid","Consumer goods",766,"500<=X<1000","1<=X<4",4,"none",3,"real estate",66,"stores","own",1,"unskilled resident",0,0,1,"bad",0,0
"0<=X<200",15,"critical/order existing credit","Consumer goods",2728,"<100","4<=X<7",4,"guarantor",2,"real estate",35,"bank","own",3,"skilled",0,0,1,"good",0,1
">=200",12,"existing paid","Consumer goods",1881,"<100","1<=X<4",2,"none",2,"car",44,"stores","rent",1,"unskilled resident",0,1,1,"good",1,1
">=200",6,"existing paid","Car Purchase",709,">=1000","<1",2,"none",2,"real estate",27,"stores","own",1,"unemp/unskilled non res",0,0,0,"good",0,1
"<0",36,"existing paid","Car Purchase",4795,"<100","<1",4,"none",1,"no known property",30,"stores","own",1,"high qualified",0,1,1,"good",1,1
"<0",27,"existing paid","Consumer goods",3416,"<100","1<=X<4",3,"none",2,"car",27,"stores","own",1,"high qualified",0,0,1,"good",0,1
"<0",18,"existing paid","Consumer goods",2462,"<100","1<=X<4",2,"none",2,"car",22,"stores","own",1,"skilled",0,0,1,"bad",0,0
"no checking",21,"critical/order existing credit","Consumer goods",2288,"<100","<1",4,"none",4,"life insurance",23,"stores","own",1,"skilled",0,1,1,"good",1,1
"0<=X<200",48,"no credits/all paid","business",3566,"100<=X<500","4<=X<7",4,"none",2,"car",30,"stores","own",1,"skilled",0,0,1,"good",0,1
"<0",6,"critical/order existing credit","Car Purchase",860,"<100",">=7",1,"none",4,"no known property",39,"stores","own",2,"skilled",0,1,1,"good",1,1
"no checking",12,"critical/order existing credit","Car Purchase",682,"100<=X<500","4<=X<7",4,"none",3,"car",51,"stores","own",2,"skilled",0,1,1,"good",1,1
"<0",36,"critical/order existing credit","Consumer goods",5371,"<100","1<=X<4",3,"guarantor",2,"life insurance",28,"stores","own",2,"skilled",0,0,1,"good",0,1
"no checking",18,"critical/order existing credit","Consumer goods",1582,">=1000",">=7",4,"none",4,"car",46,"stores","own",2,"skilled",0,0,1,"good",0,1
"no checking",6,"existing paid","Consumer goods",1346,"100<=X<500",">=7",2,"none",4,"no known property",42,"bank","for free",1,"skilled",1,1,1,"good",0,1
"no checking",10,"existing paid","Consumer goods",1924,"<100","1<=X<4",1,"none",4,"life insurance",38,"stores","own",1,"skilled",0,1,0,"good",0,1
">=200",36,"existing paid","Consumer goods",5848,"<100","1<=X<4",4,"none",1,"car",24,"stores","own",1,"skilled",0,0,1,"good",0,1
"0<=X<200",24,"critical/order existing credit","Car Purchase",7758,">=1000",">=7",2,"none",4,"no known property",29,"stores","rent",1,"skilled",0,0,1,"good",1,1
"0<=X<200",24,"delayed previously","business",6967,"100<=X<500","4<=X<7",4,"none",4,"car",36,"stores","rent",1,"high qualified",0,1,1,"good",0,1
"<0",12,"existing paid","Consumer goods",1282,"<100","1<=X<4",2,"none",4,"car",20,"stores","rent",1,"skilled",0,0,1,"bad",1,0
"<0",9,"critical/order existing credit","repairs",1288,"100<=X<500",">=7",3,"guarantor",4,"real estate",48,"stores","own",2,"skilled",1,0,0,"good",0,1
"<0",12,"no credits/all paid","retraining",339,"<100",">=7",4,"none",1,"car",45,"bank","own",1,"unskilled resident",0,0,1,"good",0,1
"0<=X<200",24,"existing paid","Consumer goods",3512,"100<=X<500","4<=X<7",2,"none",3,"car",38,"bank","own",2,"skilled",0,1,1,"good",0,1
"no checking",6,"critical/order existing credit","Consumer goods",1898,"<100","1<=X<4",1,"none",2,"real estate",34,"stores","own",2,"unskilled resident",1,0,1,"good",0,1
"no checking",24,"critical/order existing credit","Consumer goods",2872,"100<=X<500",">=7",3,"none",4,"real estate",36,"stores","own",1,"skilled",1,1,1,"good",0,1
"no checking",18,"critical/order existing credit","Car Purchase",1055,"<100","<1",4,"none",1,"life insurance",30,"stores","own",2,"skilled",0,0,1,"good",1,1
"no checking",15,"existing paid","Consumer goods",1262,"500<=X<1000","4<=X<7",4,"none",3,"life insurance",36,"stores","own",2,"skilled",0,1,1,"good",0,1
"0<=X<200",10,"existing paid","Car Purchase",7308,"<100","unemployed",2,"none",4,"no known property",70,"bank","for free",1,"high qualified",0,1,1,"good",0,1
"no checking",36,"existing paid","Car Purchase",909,"500<=X<1000",">=7",4,"none",4,"life insurance",36,"stores","own",1,"skilled",0,0,1,"good",0,1
"no checking",6,"existing paid","Consumer goods",2978,"500<=X<1000","1<=X<4",1,"none",2,"car",32,"stores","own",1,"skilled",0,1,1,"good",0,1
"<0",18,"existing paid","Consumer goods",1131,"<100","unemployed",4,"none",2,"car",33,"stores","own",1,"skilled",0,0,1,"bad",1,0
"0<=X<200",11,"existing paid","Consumer goods",1577,">=1000","<1",4,"none",1,"real estate",20,"stores","own",1,"skilled",0,0,1,"good",1,1
"no checking",19,"existing paid","Consumer goods",3972,"<100","4<=X<7",2,"none",4,"life insurance",25,"stores","rent",1,"skilled",0,1,1,"good",1,1
"0<=X<200",24,"critical/order existing credit","business",1935,"<100",">=7",4,"none",4,"real estate",31,"stores","own",2,"skilled",0,1,1,"bad",0,0
"<0",15,"no credits/all paid","Car Purchase",950,"<100",">=7",4,"none",3,"car",33,"stores","rent",2,"skilled",1,0,1,"bad",0,0
"no checking",12,"existing paid","Consumer goods",763,"<100","1<=X<4",4,"none",1,"real estate",26,"stores","own",1,"skilled",0,1,1,"good",1,1
"0<=X<200",24,"delayed previously","Consumer goods",2064,"<100","unemployed",3,"none",2,"life insurance",34,"stores","own",1,"high qualified",0,1,1,"bad",1,0
"0<=X<200",8,"existing paid","Consumer goods",1414,"<100","1<=X<4",4,"guarantor",2,"real estate",33,"stores","own",1,"skilled",0,0,0,"good",0,1
"<0",21,"delayed previously","education",3414,"<100","<1",2,"none",1,"life insurance",26,"stores","own",2,"skilled",0,0,1,"bad",0,0
"no checking",30,"no credits/all paid","Car Purchase",6452,"<100","unemployed",4,"none",1,"real estate",53,"bank","own",1,"high qualified",0,1,1,"bad",1,0
"<0",12,"existing paid","Consumer goods",2577,"<100","1<=X<4",2,"none",2,"car",42,"stores","own",1,"skilled",0,0,1,"good",0,1
"<0",6,"critical/order existing credit","Consumer goods",338,"500<=X<1000",">=7",4,"none",4,"car",52,"stores","own",2,"skilled",0,0,1,"good",0,1
"no checking",12,"existing paid","Consumer goods",1963,"<100","4<=X<7",4,"none",2,"car",31,"stores","rent",2,"high qualified",1,1,1,"good",0,1
"<0",21,"critical/order existing credit","Car Purchase",571,"<100",">=7",4,"none",4,"real estate",65,"stores","own",2,"skilled",0,0,1,"good",0,1
"no checking",36,"delayed previously","business",9572,"<100","<1",1,"none",1,"car",28,"stores","own",2,"skilled",0,0,1,"bad",0,0
