"checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","personal_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","class"
"no checking",9,"critical/order existing credit","new car",2134,"<100","1<=X<4",4,"male single","none",4,"car",48,"stores","own",3,"skilled",1,NA,"yes","good"
"<0",6,"existing paid","radio/tv",2647,"500<=X<10000","1<=X<4",2,"male single","none",3,"real estate",44,"stores","rent",1,"skilled",2,"none","yes","good"
"<0",10,"critical/order existing credit","new car",2241,"<100","<1",1,"male single","none",3,"real estate",48,"stores","rent",2,"unskilled resident",2,"none","no","good"
"0<=X<200",12,"critical/order existing credit","used car",1804,"100<=X<500","<1",3,"male single","none",4,"life insurance",44,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",10,"critical/order existing credit","furniture/equipment",2069,"no known savings","1<=X<4",2,"male mar/wid","none",1,"car",26,"stores","own",2,"skilled",1,"none","no","good"
"<0",6,"existing paid","furniture/equipment",1374,"<100","1<=X<4",1,"male single","none",2,NA,36,"bank","own",1,"unskilled resident",1,"yes","yes","good"
"no checking",6,"no credits/all paid","radio/tv",426,"<100",">=7",4,"male mar/wid","none",4,"car",39,"stores","own",1,"unskilled resident",1,"none","yes","good"
">=200",NA,"all paid","radio/tv",409,">=1000","1<=X<4",3,"female div/dep/mar","none",3,"real estate",42,"stores","rent",2,"skilled",1,"none","yes","good"
"0<=X<200",7,"existing paid","radio/tv",2415,"<100","1<=X<4",3,"male single","guarantor",2,"real estate",34,"stores","own",1,"skilled",1,"none","yes","good"
"<0",60,"delayed previously","business",6836,"<100",">=7",NA,"male single","none",4,"no known property",63,"stores","own",2,"skilled",1,"yes","yes","bad"
"0<=X<200",18,"existing paid","business",1913,">=1000","<1",3,"male mar/wid","none",3,"real estate",36,"bank",NA,1,"skilled",1,"yes","yes","good"
"<0",24,"existing paid","furniture/equipment",4020,"<100","1<=X<4",2,"male single","none",2,"car",27,"","own",1,"skilled",1,"none","yes","good"
"0<=X<200",18,"existing paid","new car",5866,"100<=X<500","1<=X<4",NA,"male single","none",2,"car",30,"stores","own",2,"skilled",1,"yes","yes","good"
"no checking",12,"critical/order existing credit","business",1264,"no known savings",">=7",4,"male single","none",4,"no known property",57,"stores","rent",1,"unskilled resident",1,"none","yes","good"
">=200",12,"existing paid","furniture/equipment",1474,"<100","<1",4,"female div/dep/mar","none",1,"life insurance",33,"bank","own",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"0<=X<200",45,"critical/order existing credit","radio/tv",4746,"<100","<1",4,"male single","none",2,"life insurance",25,"stores","own",2,"unskilled resident",NA,"none",NA,"bad"
"no checking",48,"critical/order existing credit","education",6110,"<100","1<=X<4",1,"male single","none",3,"no known property",31,"bank","for free",1,"skilled",1,"yes","yes","good"
">=200",18,"existing paid","radio/tv",2100,"<100","1<=X<4",4,"male single","co applicant",2,"real estate",37,"","own",1,"skilled",1,"none","yes","bad"
">=200",10,"existing paid","domestic appliance",1225,"<100","1<=X<4",2,"male single","none",NA,"car",37,"stores","own",1,"skilled",1,"yes","yes","good"
"0<=X<200",9,"existing paid","radio/tv",458,"<100","1<=X<4",4,"male single","none",3,"real estate",24,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",30,"existing paid","radio/tv",2333,"500<=X<10000",">=7",4,"male single","none",2,"car",30,"bank","own",1,"high qualif/self emp/mgmt",1,"none","yes","good"
"0<=X<200",12,"existing paid","radio/tv",1158,"500<=X<10000","1<=X<4",3,"male div/sep","none",1,"car",26,"stores","own",1,"skilled",1,"yes","yes","good"
"0<=X<200",18,"delayed previously","repairs",NA,"<100","1<=X<4",2,"male single","none",4,"real estate",44,"stores","own",1,"unskilled resident",2,"yes","yes","good"
"<0",30,"critical/order existing credit","used car",NA,"100<=X<500","4<=X<7",1,"male mar/wid","none",4,"car",24,"stores","rent",2,"skilled",1,"none","yes","good"
"<0",NA,"critical/order existing credit","used car",6143,"<100",">=7",4,"female div/dep/mar","none",4,NA,58,"","for free",2,"unskilled resident",1,"none","yes","bad"
"no checking",11,"critical/order existing credit","new car",1393,"<100","<1",4,"female div/dep/mar","none",4,"car",35,"stores","own",2,"high qualif/self emp/mgmt",1,"none","yes","good"
"no checking",36,"existing paid","radio/tv",2299,"500<=X<10000",">=7",4,"male single","none",4,"car",39,"stores","own",1,"skilled",1,"none","yes","good"
"<0",6,"existing paid","used car",1352,"500<=X<10000","unemployed",1,"female div/dep/mar","none",2,"life insurance",23,"stores","rent",1,"unemp/unskilled non res",1,"yes","yes","good"
"no checking",11,"critical/order existing credit","new car",7228,"<100","1<=X<4",1,"male single","none",4,"life insurance",39,"stores","own",NA,"unskilled resident",1,"none","yes","good"
"no checking",12,"existing paid","radio/tv",2073,"100<=X<500","1<=X<4",4,"female div/dep/mar","co applicant",2,"real estate",28,"stores","own",1,"skilled",1,"none","yes","good"
"0<=X<200",24,"delayed previously","furniture/equipment",2333,"no known savings","<1",4,"male single","none",2,"life insurance",29,"bank","own",1,"unskilled resident",1,"none","yes","good"
"0<=X<200",27,"delayed previously","used car",5965,"<100",">=7",1,"male single","none",NA,"car",30,"stores","own",2,"high qualif/self emp/mgmt",1,"yes","yes","good"
"no checking",12,"existing paid","radio/tv",1262,"<100","1<=X<4",3,"male single","none",2,"car",25,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",18,"existing paid","used car",3378,"no known savings","1<=X<4",2,"male single","none",1,"life insurance",31,"stores","own",1,"skilled",1,"yes","yes","good"
"0<=X<200",36,"delayed previously","new car",2225,"<100",">=7",4,"male single","none",4,"no known property",57,"bank","for free",2,"skilled",1,"yes","yes","bad"
"no checking",6,"all paid","new car",783,"no known savings","1<=X<4",1,"male single","guarantor",2,"real estate",26,"","own",1,"unskilled resident",2,"none","yes","good"
"0<=X<200",12,"existing paid","radio/tv",6468,"no known savings","unemployed",2,"male single","none",1,"no known property",52,"stores","own",1,"high qualif/self emp/mgmt",1,NA,"yes","bad"
"no checking",NA,"critical/order existing credit","radio/tv",9566,"<100","1<=X<4",2,"female div/dep/mar","none",2,"car",31,"","own",2,"skilled",1,"none","yes","good"
">=200",18,"existing paid","new car",1961,"<100",">=7",3,"female div/dep/mar","none",2,"car",23,NA,"own",1,"high qualif/self emp/mgmt",1,"none","yes","good"
"<0",36,"critical/order existing credit","furniture/equipment",6229,"<100","<1",4,"female div/dep/mar","co applicant",4,"no known property",23,"stores","rent",2,"unskilled resident",1,"yes","yes","bad"
"0<=X<200",9,"existing paid","business",1391,"<100","1<=X<4",2,"male mar/wid","none",1,"real estate",27,NA,"own",1,"skilled",1,"yes","yes","good"
"0<=X<200",15,"critical/order existing credit","radio/tv",1537,"no known savings",">=7",4,"male single","guarantor",4,"real estate",50,"stores","own",NA,"skilled",1,"yes","yes","good"
"0<=X<200",36,"no credits/all paid","business",1953,"<100",">=7",4,"male single",NA,4,"no known property",61,"stores","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"0<=X<200",48,"no credits/all paid","business",14421,"<100","1<=X<4",2,"male single","none",2,"car",25,"stores","own",1,"skilled",1,"yes","yes","bad"
"no checking",24,"existing paid","radio/tv",3181,"<100","<1",4,"female div/dep/mar","none",4,"life insurance",26,"stores","own",1,"skilled",NA,"yes","yes","good"
"no checking",27,"existing paid","repairs",5190,"no known savings",">=7",4,"male single","none",4,"life insurance",48,"stores","own",4,"skilled",2,"yes","yes","good"
"no checking",12,"existing paid","radio/tv",2171,"<100","<1",2,"female div/dep/mar","none",2,"car",29,"bank","own",1,"skilled",1,"none","yes","good"
"0<=X<200",12,"existing paid",NA,1007,">=1000","1<=X<4",4,"male mar/wid","none",1,"real estate",22,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",36,"existing paid","education",1819,"<100","1<=X<4",4,"male single","none",4,"no known property",37,"","for free",1,"skilled",1,"yes","yes","bad"
"no checking",36,"existing paid","radio/tv",2394,"no known savings","1<=X<4",4,"female div/dep/mar","none",4,"car",25,"stores","own",1,"skilled",1,NA,"yes","good"
"no checking",36,"existing paid",NA,8133,"<100","1<=X<4",1,"female div/dep/mar","none",2,"life insurance",30,"bank","own",1,"skilled",1,"none","yes","good"
"no checking",7,"critical/order existing credit","radio/tv",730,"no known savings",">=7",NA,"male single","none",2,"life insurance",46,"stores","rent",2,"unskilled resident",1,"yes","yes","good"
"<0",8,"critical/order existing credit","other",1164,"<100",">=7",3,"male single","none",4,"no known property",51,"bank","for free",2,"high qualif/self emp/mgmt",2,"yes","yes","good"
"0<=X<200",42,"critical/order existing credit","business",5954,"<100","4<=X<7",2,"female div/dep/mar","none",1,"real estate",41,"bank","own",2,"unskilled resident",1,"none","yes","good"
"<0",36,"existing paid","education",1977,"no known savings",">=7",4,NA,"none",NA,"no known property",40,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"<0",12,"critical/order existing credit","used car",1526,"<100",">=7",4,"male single","none",4,"no known property",66,"stores","for free",2,"high qualif/self emp/mgmt",1,"none","yes","good"
"<0",42,"existing paid","radio/tv",3965,"<100","<1",NA,"male single","none",3,"car",34,"stores","own",1,"skilled",1,"none","yes","bad"
"0<=X<200",11,"delayed previously","radio/tv",4771,"<100","4<=X<7",2,"male single","none",NA,"life insurance",51,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",54,"no credits/all paid","used car",9436,"no known savings","1<=X<4",2,"male single","none",2,"life insurance",39,"stores","own",1,"unskilled resident",2,"none","yes","good"
NA,30,"existing paid","furniture/equipment",3832,"<100","<1",2,"male mar/wid","none",1,"life insurance",22,"stores","own",1,"skilled",NA,"none","yes","good"
"no checking",24,"existing paid","radio/tv",5943,"no known savings","<1",1,"female div/dep/mar","none",1,"car",44,"stores","own",2,"skilled",1,"yes","yes","bad"
"no checking",15,"existing paid","radio/tv",1213,"500<=X<10000",">=7",4,"male single","none",3,"life insurance",47,"","own",1,"skilled",1,"yes","yes","good"
"no checking",18,"existing paid","business",1568,"100<=X<500","1<=X<4",3,"female div/dep/mar","none",4,"life insurance",24,"stores","rent",1,"unskilled resident",1,"none","yes","good"
NA,24,"existing paid","other",1755,"<100",">=7",4,"female div/dep/mar","guarantor",4,"real estate",58,"stores","own",1,"unskilled resident",1,"yes","yes","good"
"<0",10,"existing paid","radio/tv",2315,"<100",">=7",3,"male single","none",4,"real estate",52,"stores","own",1,"unskilled resident",NA,"none","yes","good"
"no checking",12,"critical/order existing credit","business",1412,"<100","1<=X<4",4,"female div/dep/mar","guarantor",2,"real estate",29,NA,"own",2,"high qualif/self emp/mgmt",1,NA,"yes","good"
"0<=X<200",18,"critical/order existing credit","furniture/equipment",1295,"<100","<1",4,"female div/dep/mar","none",1,"life insurance",27,"stores","own",2,"skilled",1,"none","yes","good"
"0<=X<200",36,"existing paid","education",12612,"100<=X<500","1<=X<4",1,"male single","none",4,"no known property",47,"stores","for free",1,"skilled",2,"yes","yes","bad"
"<0",18,"existing paid","new car",2249,"100<=X<500","4<=X<7",4,"male single","none",3,"car",30,"stores","own",1,"high qualif/self emp/mgmt",2,"yes","yes","good"
"<0",12,"no credits/all paid","repairs",1108,"<100","4<=X<7",4,"male single","none",3,"real estate",28,"stores","own",2,"skilled",1,"none","yes","bad"
"no checking",12,"critical/order existing credit","radio/tv",618,"<100",">=7",4,"male single","none",4,"real estate",56,"stores","own",1,"skilled",1,"none","yes","good"
"<0",12,"critical/order existing credit","used car",1409,"<100",">=7",4,"male single","none",3,"real estate",54,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",12,"critical/order existing credit","radio/tv",797,"no known savings",">=7",4,"female div/dep/mar","none",3,"life insurance",33,"bank","own",1,"unskilled resident",2,"none","yes","bad"
">=200",24,"critical/order existing credit","furniture/equipment",3617,"no known savings",">=7",4,"male single","co applicant",4,"no known property",20,"stores","rent",2,"skilled",1,"none","yes","good"
"0<=X<200",12,"existing paid","new car",1318,">=1000",">=7",4,"male single","none",4,"real estate",54,"stores","own",NA,"skilled",1,"yes","yes","good"
"0<=X<200",54,"no credits/all paid","business",15945,"<100","<1",3,"male single","none",4,"no known property",58,"stores","rent",1,"skilled",1,"yes","yes","bad"
"no checking",12,"critical/order existing credit","education",2012,"no known savings","4<=X<7",4,"female div/dep/mar","none",2,"car",61,NA,"own",1,NA,1,"none","yes","good"
NA,18,"existing paid","business",2622,"100<=X<500","1<=X<4",4,"male single","none",4,"car",34,"stores","own",1,"skilled",1,"none","yes","good"
"0<=X<200",36,"critical/order existing credit","radio/tv",2337,"<100",">=7",4,"male single","none",4,"real estate",36,"stores","own",1,"skilled",1,"none","yes","good"
"0<=X<200",20,"delayed previously","used car",7057,"no known savings","4<=X<7",3,"male single","none",4,"life insurance",36,"bank","rent",2,"high qualif/self emp/mgmt",2,"yes","yes","good"
"no checking",24,"existing paid","new car",1469,"100<=X<500",">=7",4,"male mar/wid","none",4,"real estate",41,"stores","rent",1,"unskilled resident",1,"none","yes","good"
"0<=X<200",36,"existing paid","radio/tv",2323,"<100","4<=X<7",4,"male single","none",4,"car",24,"stores","rent",1,"skilled",1,"none","yes","good"
"no checking",6,"delayed previously","radio/tv",932,"<100","1<=X<4",3,"female div/dep/mar","none",2,"real estate",24,"stores","own",1,"skilled",1,"none","yes","good"
"0<=X<200",9,"critical/order existing credit","furniture/equipment",1919,"<100","4<=X<7",4,"male single","none",3,"car",NA,"stores","rent",1,"skilled",1,"yes","yes","good"
"no checking",12,"existing paid","used car",2445,"no known savings","<1",2,"male mar/wid","none",4,"car",26,"stores","rent",1,"skilled",NA,"yes","yes","good"
"0<=X<200",24,"critical/order existing credit","other",11938,"<100","1<=X<4",2,"male single","co applicant",3,"car",39,"stores","own",2,"high qualif/self emp/mgmt",2,"yes","yes","bad"
"no checking",18,"all paid","new car",6458,"<100",">=7",2,"male single","none",4,"no known property",39,"bank","own",2,"high qualif/self emp/mgmt",2,"yes","yes","bad"
"0<=X<200",12,"existing paid","new car",6078,"<100","4<=X<7",2,"male single","none",2,"car",32,"stores","own",1,"skilled",1,"none","yes","good"
"<0",24,"existing paid","furniture/equipment",7721,"no known savings","<1",1,"female div/dep/mar","none",2,"life insurance",30,"stores","own",1,"skilled",1,"yes","no","good"
"0<=X<200",14,"existing paid","business",1410,"500<=X<10000",">=7",1,"male mar/wid","none",2,"real estate",35,"stores","own",1,"skilled",1,"yes","yes","good"
"0<=X<200",6,"delayed previously","business",1449,"100<=X<500",">=7",1,"male div/sep","none",2,"car",31,NA,"own",2,"skilled",2,"none",NA,"good"
">=200",15,"existing paid","education",392,"<100","<1",4,"female div/dep/mar","none",4,"life insurance",23,"stores","rent",1,"skilled",1,"yes","yes","good"
"0<=X<200",18,NA,"new car",6260,"<100","4<=X<7",3,"male single","none",3,"real estate",28,"stores","rent",NA,"unskilled resident",1,"none","yes","good"
"no checking",36,"critical/order existing credit","new car",7855,"<100","1<=X<4",4,"female div/dep/mar","none",2,"real estate",25,"","own",2,"skilled",1,"yes","yes","bad"
"<0",12,"existing paid","radio/tv",1680,"500<=X<10000",">=7",3,"male mar/wid","none",1,"real estate",35,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",48,"critical/order existing credit","radio/tv",3578,"no known savings",">=7",4,"male single","none",1,"real estate",47,"stores","own",1,"skilled",1,"yes","yes","good"
"<0",42,"existing paid","radio/tv",7174,"no known savings","4<=X<7",4,"female div/dep/mar","none",3,"car",30,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"<0",10,"critical/order existing credit","furniture/equipment",2132,"no known savings","<1",2,"female div/dep/mar","co applicant",3,"real estate",27,"stores","rent",2,"skilled",1,"none","no","good"
"<0",33,"critical/order existing credit","furniture/equipment",4281,"500<=X<10000","1<=X<4",1,"female div/dep/mar","none",4,"car",23,"stores","own",2,"skilled",1,"none","yes","bad"
"0<=X<200",12,"critical/order existing credit","new car",2366,"500<=X<10000","4<=X<7",3,"male div/sep","none",3,"car",36,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"<0",21,"existing paid",NA,1835,"<100","1<=X<4",NA,"female div/dep/mar","none",2,"real estate",25,"stores","own",2,"skilled",1,"yes","yes","bad"
"no checking",24,"critical/order existing credit","used car",3868,"<100",">=7",4,"female div/dep/mar","none",2,"car",41,"stores","rent",2,"high qualif/self emp/mgmt",1,"yes","yes","good"
"no checking",12,"existing paid","furniture/equipment",1768,"<100","1<=X<4",3,"male single","none",2,"real estate",24,"stores","rent",1,"unskilled resident",1,"none","yes","good"
">=200",NA,"critical/order existing credit","new car",781,"<100",">=7",4,"male single","none",4,"no known property",63,"stores","for free",2,"skilled",1,"yes","yes","good"
"0<=X<200",18,"existing paid","furniture/equipment",1924,"no known savings","<1",4,"female div/dep/mar","none",3,"real estate",27,"stores","rent",1,"skilled",1,"none","yes","bad"
"<0",12,"critical/order existing credit","new car",2121,"<100","1<=X<4",4,"male single","none",2,"life insurance",30,"stores","own",2,"skilled",1,"none","yes","good"
"<0",12,"existing paid","radio/tv",701,"<100","1<=X<4",4,"male mar/wid","none",2,"real estate",40,"stores","own",1,"unskilled resident",1,"none","yes","good"
"0<=X<200",12,"existing paid","repairs",639,"<100","1<=X<4",4,"male single","none",2,NA,30,"stores","own",1,NA,1,"none","yes","bad"
"0<=X<200",12,"critical/order existing credit","used car",1860,"<100","unemployed",4,"male single","none",2,"car",34,"stores","own",2,"high qualif/self emp/mgmt",1,"yes","yes","good"
"<0",12,"critical/order existing credit","new car",3499,"<100","1<=X<4",3,"female div/dep/mar","co applicant",2,"real estate",29,"stores","own",2,"skilled",1,"none","yes","bad"
"0<=X<200",48,"existing paid","new car",8487,"no known savings","4<=X<7",1,"female div/dep/mar","none",2,"car",24,"stores","own",1,"skilled",1,"none","yes","good"
"<0",36,"delayed previously","education",6887,"<100","1<=X<4",4,"male single","none",3,"life insurance",29,"","own",1,"skilled",1,"yes","yes","bad"
"no checking",15,"existing paid","furniture/equipment",2708,"<100","<1",2,"male single","none",3,"life insurance",27,"bank","own",2,"unskilled resident",1,"none","yes","good"
"no checking",18,"existing paid","furniture/equipment",1984,"<100","1<=X<4",4,"male single","none",4,"no known property",47,"bank","for free",2,"skilled",1,"none","yes","good"
"no checking",60,"existing paid","radio/tv",10144,"100<=X<500","4<=X<7",2,"female div/dep/mar","none",4,"real estate",21,"stores","own",1,"skilled",1,"yes","yes","good"
"no checking",12,"critical/order existing credit","radio/tv",1240,"no known savings",">=7",4,"female div/dep/mar","none",2,"real estate",38,"stores","own",2,"skilled",1,"yes","yes","good"
"no checking",27,"delayed previously","used car",8613,">=1000","1<=X<4",2,"male single","none",2,"car",27,"stores","own",2,"skilled",1,"none","yes","good"
"0<=X<200",12,"existing paid","radio/tv",766,"500<=X<10000","1<=X<4",4,"male single","none",3,"real estate",66,"stores","own",1,"unskilled resident",1,"none","yes","bad"
"0<=X<200",15,"critical/order existing credit","radio/tv",2728,"no known savings","4<=X<7",4,"male single","guarantor",2,"real estate",35,"bank","own",3,"skilled",1,NA,"yes","good"
">=200",12,"existing paid","radio/tv",1881,"<100","1<=X<4",2,"female div/dep/mar","none",2,"car",44,"stores","rent",1,"unskilled resident",1,"yes","yes","good"
">=200",6,"existing paid","new car",709,">=1000","<1",2,"male mar/wid","none",2,"real estate",27,"stores","own",1,"unemp/unskilled non res",1,"none","no","good"
NA,36,"existing paid",NA,4795,"<100","<1",4,"female div/dep/mar","none",1,NA,30,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"<0",27,"existing paid","radio/tv",3416,"<100","1<=X<4",3,"male single","none",2,"car",27,"stores","own",1,"high qualif/self emp/mgmt",1,"none","yes","good"
"<0",18,"existing paid","furniture/equipment",2462,"<100","1<=X<4",2,"male single","none",2,"car",22,"stores","own",1,"skilled",1,"none","yes","bad"
"no checking",21,"critical/order existing credit","furniture/equipment",2288,"<100","<1",4,"female div/dep/mar","none",4,"life insurance",23,"stores","own",1,"skilled",1,"yes","yes","good"
"0<=X<200",48,"all paid","business",3566,"100<=X<500","4<=X<7",4,"male single","none",2,"car",30,"stores","own",1,"skilled",1,"none","yes","good"
"<0",6,"critical/order existing credit","new car",860,NA,">=7",1,"female div/dep/mar","none",4,"no known property",39,"stores","own",2,"skilled",1,"yes","yes","good"
"no checking",12,"critical/order existing credit","new car",682,"100<=X<500","4<=X<7",4,"female div/dep/mar","none",3,"car",51,"stores","own",2,"skilled",1,"yes","yes","good"
"<0",36,"critical/order existing credit","furniture/equipment",5371,"<100","1<=X<4",3,"male single","guarantor",2,"life insurance",28,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",18,"critical/order existing credit","radio/tv",1582,">=1000",">=7",4,"male single","none",4,"car",46,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",6,"existing paid","radio/tv",1346,"100<=X<500",">=7",2,"male single","none",4,NA,42,"bank","for free",1,"skilled",2,"yes","yes","good"
"no checking",10,"existing paid","radio/tv",1924,"<100","1<=X<4",1,"male single","none",4,"life insurance",38,"stores","own",1,"skilled",1,"yes","no","good"
">=200",36,"existing paid","radio/tv",5848,"<100","1<=X<4",4,"male single","none",1,"car",24,"stores","own",1,"skilled",1,"none","yes","good"
"0<=X<200",24,"critical/order existing credit","used car",7758,">=1000",">=7",2,"female div/dep/mar","none",4,"no known property",29,"stores","rent",1,"skilled",1,"none","yes","good"
"0<=X<200",24,"delayed previously","business",6967,"100<=X<500","4<=X<7",4,"male single","none",4,"car",36,"stores","rent",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"<0",12,"existing paid","furniture/equipment",1282,"<100","1<=X<4",2,"female div/dep/mar","none",4,"car",20,"stores","rent",1,"skilled",1,"none",NA,"bad"
"<0",9,"critical/order existing credit","repairs",1288,"100<=X<500",">=7",3,"male single","guarantor",4,"real estate",48,"stores","own",2,"skilled",2,"none","no","good"
"<0",12,"all paid","retraining",339,"<100",">=7",4,"male mar/wid","none",1,"car",45,"bank","own",1,"unskilled resident",1,"none","yes","good"
"0<=X<200",24,"existing paid",NA,3512,"100<=X<500","4<=X<7",2,"male single","none",3,"car",38,"bank","own",2,"skilled",1,"yes","yes","good"
"no checking",6,"critical/order existing credit","radio/tv",1898,"no known savings","1<=X<4",1,"male single","none",2,"real estate",34,"stores","own",2,"unskilled resident",2,"none","yes","good"
"no checking",24,"critical/order existing credit","radio/tv",2872,"100<=X<500",">=7",3,"male single","none",4,"real estate",36,"stores","own",1,"skilled",2,"yes","yes","good"
"no checking",18,"critical/order existing credit","new car",1055,"<100","<1",4,"female div/dep/mar","none",1,"life insurance",30,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",15,"existing paid","domestic appliance",1262,"500<=X<10000","4<=X<7",4,"male single","none",3,"life insurance",36,"stores","own",2,"skilled",1,"yes","yes","good"
"0<=X<200",10,"existing paid","new car",7308,"<100","unemployed",2,"male single","none",4,"no known property",70,"bank","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"no checking",36,"existing paid","new car",909,"500<=X<10000",">=7",4,"male single","none",4,"life insurance",36,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",6,"existing paid","furniture/equipment",2978,"500<=X<10000","1<=X<4",1,"male single","none",2,"car",32,"stores",NA,NA,"skilled",1,"yes","yes","good"
"<0",18,"existing paid","furniture/equipment",1131,"<100","unemployed",4,"female div/dep/mar","none",2,"car",33,"stores","own",1,"skilled",1,"none","yes","bad"
"0<=X<200",11,"existing paid","furniture/equipment",1577,">=1000","<1",4,"female div/dep/mar","none",1,"real estate",20,"stores","own",1,"skilled",1,"none",NA,"good"
"no checking",NA,"existing paid","furniture/equipment",3972,"<100","4<=X<7",2,"female div/dep/mar","none",4,"life insurance",25,"stores","rent",1,"skilled",1,"yes","yes","good"
"0<=X<200",24,"critical/order existing credit","business",1935,"<100",">=7",4,"male div/sep","none",4,"real estate",31,"stores","own",2,"skilled",1,"yes","yes","bad"
"<0",15,"no credits/all paid","new car",950,"<100",">=7",4,"male single","none",3,"car",33,"stores","rent",2,"skilled",2,"none","yes","bad"
"no checking",12,"existing paid","furniture/equipment",763,"<100","1<=X<4",4,"female div/dep/mar","none",1,"real estate",26,"stores","own",1,"skilled",1,"yes","yes","good"
"0<=X<200",24,"delayed previously","furniture/equipment",2064,"<100","unemployed",3,"female div/dep/mar","none",2,"life insurance",34,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
